"","logFC","logCPM","LR","PValue"
"SPU_025329",0.0114231365629905,1.42966910299538,1.06121755134581e-05,0.997400789184883
"SPU_013698",1.04970870680586,3.34297179672988,1.16391007649107,0.280656098556163
"SPU_003180",0.377770686140665,6.36120465450905,1.59953427871737,0.205969222710287
"SPU_002552",-0.0459043902608915,6.00457826851279,0.0178034392717077,0.893853693244119
"SPU_020405",-0.490585125202874,0.778254706558638,0.23706609226824,0.626333214563368
"SPU_016378",-0.676058348935718,2.94876523956735,0.50776408172263,0.476108373180301
"SPU_012370",-0.146244072643318,6.11024529718713,0.198110311010251,0.656250491566951
"SPU_015551",0.242385183621124,9.23316337829031,1.43475259879946,0.230990375161382
"SPU_002551",0.764552791749528,3.19806900473815,0.762346919748047,0.382595056644011
"SPU_020407",-2.89230597735955,3.3619393971787,10.1260288636928,0.00146190032042595
"SPU_024871",-0.0060109052154024,4.07756758629939,5.17394059063037e-05,0.994260857141741
"SPU_026047",-1.42411920560852,3.35437282349891,2.23464019926653,0.134948034131864
"SPU_012936",-1.23251015562942,4.35229613753563,5.10827180773754,0.0238120281353844
"SPU_000064",0.597817790705813,4.75747518380446,1.068175343377,0.30135795648295
"SPU_024710",-0.140291886758825,9.82574552505838,0.569095983510486,0.450618372211685
"SPU_009752",-1.44842849565422,2.35001070294044,1.96724226831769,0.160740884115139
"SPU_017929",0.550040736472733,7.63949313701627,5.26786233731536,0.0217226722893078
"SPU_007412",0.507930502505574,4.57391678104756,0.917131430413921,0.338229293927974
"SPU_022953",0.188739127700091,3.04094204199671,0.0524984431586448,0.818771461970527
"SPU_018245",-0.770795307830327,2.80367002571129,0.91673499860415,0.338333717896885
"SPU_006873",-0.80878416242275,3.40637226598173,0.939758127134729,0.332340052929125
"SPU_006872",0.397382356821281,5.72483108403399,0.972077235542347,0.324162668208837
"SPU_023177",1.07553741146691,4.16046131704329,2.0232484740663,0.154907438643768
"SPU_007414",0.248831720073127,7.64955907371591,0.999040039610584,0.317542901718303
"SPU_014289",0.418545384599208,6.03935825856365,0.997317785617962,0.317960396791228
"SPU_020781",-0.436941091537614,4.21320465665371,0.456677247178323,0.499180974158893
"SPU_012326",-0.473572568602967,4.01744627265564,0.444570172998192,0.504924835643784
"SPU_021079",-0.103447329598926,3.6442794032351,0.0155843141588194,0.900652475546265
"SPU_016479",-0.218914443583827,4.595736960125,0.141425015528624,0.706868443814214
