"","logFC","logCPM","LR","PValue"
"SPU_005584",-0.220327859417267,1.44765039115211,0.0460112038059144,0.830155433361001
"SPU_021726",0.170883045870415,7.6844631929091,0.376945585856548,0.539242457245474
"SPU_021768",3.18536869231025,4.35910216507405,12.0726978388436,0.000511656058735608
"SPU_019441",-0.131401437437613,5.79088216749705,0.10605950380705,0.7446757231609
"SPU_0112740",0.686602000606949,4.65317749959427,1.49102524710723,0.222057455092492
"SPU_010612",-0.20947500198674,4.73537148401036,0.127616583146516,0.720916160608171
"SPU_006508",-0.0102088911391757,5.61006597417692,0.000159059080228729,0.989937456242825
"SPU_008259",0.138437822824356,6.3284798562051,0.129785399709425,0.718654647643767
"SPU_000023",1.37398586061982,3.1351710634029,1.60759061612853,0.20483081818033
"SPU_000022",-0.093724426436375,1.00801406587548,0.00229330369473146,0.961805143968346
"SPU_001817",-0.208124399547554,2.67053045993002,0.0314698777072895,0.859196160479754
"SPU_002748",-1.86024408894145,2.92059473757664,1.4447615559241,0.229370368705232
"SPU_002829",3.01726271346591,2.08145342886175,5.67389765018243,0.0172191560778855
"SPU_016775",0.0629160107908921,1.86069137804505,0.000417045701798457,0.983706975883634
"SPU_017614",-0.630278146701829,1.56320572329086,0.34548340638802,0.55668106759966
"SPU_0271451",-0.0577307702953371,2.42738299837528,0.00403071565923874,0.949377980330709
"SPU_026852",0.437357760265551,4.53904081875112,0.46166658274004,0.496846121861859
"SPU_006718",1.05468998173246,3.11333614893948,1.62005736343108,0.203083789251644
"SPU_002982",1.35775172109632,3.24948930517814,3.06628912895267,0.0799317391732846
"SPU_016350",-0.31168926137397,4.77518105340549,0.339790120440377,0.559950393425872
"SPU_012610",1.08835299808074,3.71504780236541,1.81874931826369,0.177462220965583
"SPU_005125",-0.40872869946437,6.14481789830908,0.747501290319391,0.387268491954901
"SPU_013327",-0.621688049339414,3.70699055908763,0.758161546439812,0.383904475023532
"SPU_0181072",0.853060965402474,3.79199049213991,1.08030509421671,0.298629314371369
"SPU_021256",0.219392067225118,4.21626011693775,0.101192596172181,0.75040313885907
"SPU_0018932",-0.409117440417303,1.46841148077774,0.0831131528951907,0.773122068018724
"SPU_0018933",-2.04210376025966,1.45108667182415,2.40359197632038,0.121057002238639
"SPU_010216",0.427219287628605,6.78756281101633,1.54202778246813,0.214316226016108
"SPU_0055306",-0.819826823040192,4.19083570816835,1.08247941637754,0.29814355509627
"SPU_0080586",-1.32684634561479,4.44023343772818,2.73666734674546,0.0980690984054328
"SPU_026115",-0.638484345596335,5.57275336024279,1.811347801151,0.178346633010717
"SPU_024109",1.15794054742337,1.8985391366993,1.188188542031,0.27569525355468
"SPU_027585",-0.513580202696332,3.44159150598532,0.348053855931678,0.555216867798244
"SPU_022557",0.854539631923767,3.6187681574948,0.948360209496727,0.330137043367184
"SPU_004873",0.802602824391408,2.52088802765315,0.432811630248931,0.510612539346324
"SPU_013398",0.219599886404179,4.27055984856319,0.109228324166857,0.741024393727585
"SPU_028850",0.808875792294252,2.27871915855118,0.384047800348078,0.53544484380459
"SPU_012288",0.751466463430347,2.56043521833455,0.355429555172329,0.551055566089516
"SPU_005564",-0.783812839460715,4.74645914273758,1.4009721694551,0.236560865612776
"SPU_024295",-0.232376088774582,5.31181062325646,0.249266984900165,0.617591689434655
"SPU_021956",0.943584424987295,2.12541878398213,0.759551500514835,0.383468915857127
"SPU_017696",-1.06584032548143,4.39621224925028,2.60878706145614,0.106273018587749
"SPU_015963",0.594115546358775,4.28448922259944,0.851236979053951,0.356202637796478
"SPU_002874",0.132471479892853,5.70441999664196,0.0876683953616055,0.767162501888778
"SPU_013462",0.00198714549440724,4.96871598970988,0.000116898587267045,0.991373468122547
"SPU_017890",1.41109035811579,3.37593009598685,2.73600488614447,0.0981097705961158
"SPU_019181",-1.45986584644947,4.92814083671333,3.61366733598568,0.0573066176623582
"SPU_013096",0.69562483015284,2.71111854070324,0.544533049096644,0.460560131725644
"SPU_008670",-0.00411203001064002,6.60794806541767,0.000207263679971703,0.988513527905213
"SPU_022975",0.70190724601468,4.39510486844191,0.819480881198004,0.36533198768197
"SPU_001302",-0.193681515334764,3.24057878006954,0.0616654805164174,0.803882685031056
"SPU_009138",-0.157116295255069,2.44028131203353,0.618115537478859,0.43174842716211
"SPU_023358",-0.849078899536284,6.9846970958274,9.29748839450552,0.00229468236462265
"SPU_014781",4.24588792130983,2.77152721300646,10.764390859436,0.00103471613487949
"SPU_001569",1.19657224434974,4.28287031749493,3.30214268325093,0.0691895760807798
"SPU_002107",-0.0972503006458645,6.41844294152105,0.0887095852353372,0.765824105277593
"SPU_026454",-0.0205299716708317,1.65175296706488,-1.81585947660572e-09,1
"SPU_002993",-0.0780616668129554,4.63296393587016,0.0134873532428941,0.90754549924653
"SPU_022934",1.56823977217136,1.29690331720512,1.97601977295728,0.15981034411368
"SPU_017389",-0.173379044315239,7.58354001605125,0.397159046734531,0.528560102612393
"SPU_010533",-0.140405058813553,5.50394157307744,0.0981232571427726,0.754093529437093
"SPU_018203",0.977467802765047,3.09777861435338,1.53132677374232,0.215913428836507
"SPU_019785",0.243603483640584,7.55554956564674,0.728595505750281,0.393338818880425
"SPU_019414",0.790953428218916,5.13401559592072,1.60912771198356,0.204614462261953
"SPU_022961",0.29893183350751,3.87750160675702,0.152865875185649,0.695811532632259
"SPU_008043",-2.58267051005543,2.3984011743189,4.14734911238178,0.0416997578034743
"SPU_027949",0.0531534436483601,4.15080032883623,0.0078904437109566,0.929218470089693
"SPU_013204",-0.989006297043508,3.06121592753445,0.936810843020584,0.333099363019699
"SPU_007958",1.27090314637766,3.20029925567642,2.19853220910481,0.138142220937431
"SPU_002229",0.387263373905702,1.86609441713166,0.128806108385747,0.719673132262655
"SPU_017875",0.707343053305643,4.70838221493962,1.35261641605189,0.244821231762564
"SPU_0178753",-0.227028742691279,2.48485431344039,0.0484505398905224,0.825781722704428
"SPU_005843",1.49530582201755,3.89539509566498,3.2378879539797,0.0719533391395861
"SPU_009321",3.96546167508879,3.61865655144997,10.757944334582,0.00103832647738359
"SPU_0059261",0.444632068800306,2.88462707999218,0.226481123680831,0.634145387387569
"SPU_016627",0.0427381721357351,5.06041669600452,0.00560951459383574,0.940296907923792
"SPU_017642",-0.187435623445253,5.85777248360637,0.190533794007711,0.662472716302706
