"","logFC","logCPM","F","PValue"
"transcript:SPU_015935-tr",-0.0371303052399687,4.46395987168255,0.155374105850241,0.693936669603544
"transcript:SPU_015936-tr",-0.101696051647585,4.0173571016751,0.910796186664668,0.341233586654466
"transcript:SPU_013231-tr",0.507019417917223,1.32701818883307,3.61726573225213,0.0588429821523584
"transcript:SPU_001288-tr",-0.174328993677198,4.1462681767131,2.8327514643003,0.0941620321686048
"transcript:SPU_012914-tr",-0.0699915358053109,6.62067157784759,1.1922068961314,0.27640166548708
"transcript:SPU_012913-tr",-0.123299025946862,5.88847723057122,3.04344003514323,0.0828381856184259
"transcript:SPU_012912-tr",-0.208488663732625,5.48524234961179,7.28965279413731,0.00762339736112548
"transcript:SPU_012911-tr",0.18838085392755,4.00881820436041,2.84314361979472,0.0935654085716801
"transcript:SPU_012909-tr",-0.349601189230465,4.37899735680676,11.9402786562545,0.000690922517612466
"transcript:SPU_012910-tr",0.297004761527845,1.45472136793041,1.4060645601411,0.237335341471904
"transcript:SPU_011581-tr",-0.0907070235608958,6.09811299775665,1.68438648005076,0.196068706481136
"transcript:SPU_026101-tr",-0.040542133482108,4.98996677186895,0.221748443936919,0.638303560777173
"transcript:SPU_008502-tr",-0.00950114815579981,2.24486860867879,0.00261793785375697,0.95925238594924
"transcript:SPU_008501-tr",0.241569786111409,4.30995276020168,5.59669912774683,0.0191001820004664
"transcript:SPU_008499-tr",0.0763350194605676,6.20799378718364,1.20052073368689,0.274749265980186
"transcript:SPU_008500-tr",-0.163156437985364,6.94290787670913,6.73001664955886,0.0102925240968709
"transcript:SPU_024948-tr",0.0428157645183537,4.34075964456977,0.159291994048137,0.690759092736235
"transcript:SPU_016012-tr",0.159405152290987,1.36934002933225,0.399681884004201,0.528087410788569
"transcript:SPU_004689-tr",-0.183062894782232,3.45312623617244,2.05866355829566,0.153146434397089
"transcript:SPU_004690-tr",0.172467354011725,2.25887252187955,0.798573035393041,0.373051327727422
"transcript:SPU_014659-tr",-0.0916840722181226,3.0158850108547,0.381890858837846,0.537404907045086
"transcript:SPU_003630-tr",-0.111375816254672,4.2034879462137,1.20315537438836,0.274214940269237
"transcript:SPU_014658-tr",0.49013766914667,0.594988901156248,1.96743769150543,0.162814348861547
"transcript:SPU_014660-tr",0.0753615088016325,11.567327590968,1.47973177285544,0.225471961467649
"transcript:SPU_015272-tr",-0.142309843058014,3.48249604188155,0.974394646314874,0.327381445181921
"transcript:SPU_011473-tr",-0.840289407304985,0.173692146524513,4.35841267413935,0.038290244342668
"transcript:SPU_023307-tr",0.101121261385133,6.02521509027807,2.03206401511397,0.155811379123552
"transcript:SPU_000032-tr",-0.0818396942926731,4.32013470118779,0.574451947519177,0.44964328181001
"transcript:SPU_026309-tr",-0.0117327372878528,5.51640860225361,0.0211938832725757,0.884429267152946
"transcript:SPU_026308-tr",-0.0700346621167705,4.96705534312231,0.675274085183486,0.412348822282282
"transcript:SPU_021688-tr",0.318798691771187,8.25478487426954,26.1202134488145,9.75988693276573e-07
"transcript:SPU_021689-tr",-0.0465497586263385,2.60539061351388,0.0740977978429204,0.785791587930107
"transcript:SPU_021687-tr",0.327710083076505,0.11513313777534,0.675403350542546,0.412304174851994
"transcript:SPU_021690-tr",0.577110213662043,3.46517192817246,19.3799943286177,1.86961308855561e-05
"transcript:SPU_021634-tr",0.306340079259322,2.73260196318837,3.80554505764536,0.0526971233061627
"transcript:SPU_015117-tr",-0.095772569690712,4.31930430917573,0.897846152362484,0.344680314125628
"transcript:SPU_013936-tr",0.0649242795213275,4.52349389120129,0.477737752331359,0.490374362377937
"transcript:SPU_013935-tr",-0.148871428251309,5.54060815479864,3.61335414624683,0.0589785337547966
"transcript:SPU_013934-tr",-0.201335729252489,4.66673878799325,0.674249401992135,0.431882829976053
"transcript:SPU_022374-tr",-0.127138264670124,6.56513468932924,2.3461622682652,0.135167128758016
