geneid,binom
SPU_000974,0
SPU_000975,0
SPU_000978,0
SPU_000979,0
SPU_000980,0
SPU_000982,0
SPU_000983,0
SPU_000984,0
SPU_000985,0
SPU_000988,0
SPU_000989,0
SPU_000990,0
SPU_000993,0
SPU_000994,0
SPU_000996,0
SPU_000997,0
SPU_000998,0
SPU_001000,0
SPU_001001,0
SPU_001004,1
SPU_001005,0
SPU_001006,0
SPU_001007,0
SPU_001008,0
SPU_001009,0
SPU_001012,0
SPU_001016,0
SPU_001017,1
SPU_001018,0
SPU_001019,0
SPU_001020,0
SPU_001025,0
SPU_001027,0
SPU_001028,0
SPU_001029,0
SPU_001030,0
SPU_001031,0
SPU_001032,0
SPU_001034,0
SPU_001036,0
SPU_001037,0
SPU_001038,0
SPU_001041,0
SPU_001045,0
SPU_001046,0
SPU_001047,0
SPU_001048,0
SPU_001049,0
SPU_001050,0
SPU_001051,0
SPU_001053,0
SPU_001054,1
SPU_001056,0
SPU_001057,0
SPU_001059,0
SPU_001060,0
SPU_001061,0
SPU_001062,0
SPU_001064,0
SPU_001065,0
SPU_001068,0
SPU_001069,0
SPU_001071,0
SPU_001072,0
SPU_001076,0
SPU_001077,0
SPU_001078,0
SPU_001079,0
SPU_001080,0
SPU_001081,0
SPU_001082,0
SPU_001083,0
SPU_001084,0
SPU_001085,0
SPU_001087,0
SPU_001088,0
SPU_001091,0
SPU_001092,0
SPU_001094,0
SPU_001098,0
SPU_001100,0
SPU_001101,0
SPU_001102,0
SPU_001106,0
SPU_001107,0
SPU_001108,0
SPU_001115,0
SPU_001119,0
SPU_001122,0
SPU_001123,0
SPU_001125,0
SPU_001128,1
SPU_001129,0
SPU_001130,1
SPU_001132,0
SPU_001133,0
SPU_001136,0
SPU_001137,0
SPU_001138,1
SPU_001139,0
SPU_001140,0
SPU_001141,0
SPU_001142,0
SPU_001143,0
SPU_001144,0
SPU_001145,0
SPU_001146,0
SPU_001148,0
SPU_001149,0
SPU_001152,0
SPU_001156,0
SPU_001157,0
SPU_001159,0
SPU_001160,0
SPU_001161,0
SPU_001162,0
SPU_001163,0
SPU_001164,0
SPU_001165,0
SPU_001166,0
SPU_001168,0
SPU_001172,0
SPU_001173,0
SPU_001174,0
SPU_001176,0
SPU_001177,0
SPU_001178,0
SPU_001179,0
SPU_001180,0
SPU_001181,0
SPU_001182,0
SPU_001183,0
SPU_001186,0
SPU_001189,0
SPU_001191,0
SPU_001192,0
SPU_001195,0
SPU_001196,0
SPU_001197,0
SPU_001198,0
SPU_001199,0
SPU_001200,0
SPU_001201,0
SPU_001205,0
SPU_001206,0
SPU_001207,0
SPU_001208,0
SPU_001210,0
SPU_001211,0
SPU_001212,0
SPU_001214,0
SPU_001217,0
SPU_001219,0
SPU_001220,0
SPU_001222,0
SPU_001223,0
SPU_001224,0
SPU_001225,0
SPU_001228,0
SPU_001229,1
SPU_001231,0
SPU_001232,0
SPU_001235,0
SPU_001237,0
SPU_001240,0
SPU_001242,0
SPU_001243,0
SPU_001246,0
SPU_001249,0
SPU_001250,0
SPU_001252,0
SPU_001254,0
SPU_001255,0
SPU_001257,0
SPU_001258,0
SPU_001260,0
SPU_001261,0
SPU_001262,0
SPU_001263,0
SPU_001264,0
SPU_001265,0
SPU_001266,0
SPU_001269,0
SPU_001270,0
SPU_001271,0
SPU_001273,0
SPU_001274,0
SPU_001276,0
SPU_001277,0
SPU_001279,0
SPU_001280,0
SPU_001281,0
