geneid,logFC
SPU_024811,-0.590506686
SPU_013331,0.399384245
SPU_007589,0.313428934
SPU_005860,0.749046185
SPU_0160351,0.008288647
SPU_0133041,0.097858325
SPU_013304,-0.192056605
SPU_0133047,-0.073528588
SPU_0133045,1.331602461
SPU_008105,-1.245429375
SPU_016035,0.196584822
SPU_026331,2.73064147
SPU_026332,1.43061336
SPU_019629,-0.598950586
SPU_023979,0.392388554
SPU_013353,-0.643784042
SPU_025859,0.042130499
SPU_001829,0.061637069
SPU_0284011,1.199048837
SPU_028401,0.160553536
SPU_005069,-0.139641492
SPU_010417,2.209294801
SPU_008312,0.187726378
SPU_015981,0.322310408
SPU_015983,-1.165300153
SPU_010424.a,-0.309423292
SPU_010424.d,0.041998173
SPU_010423,-0.708637121
SPU_0104220,-0.675488357
SPU_010429,0.036627775
SPU_0104291,1.672636623
SPU_0104292,0.313446817
SPU_014639,-0.134085735
SPU_019370,2.194658719
SPU_024487,1.316479683
SPU_004756,-0.036279863
SPU_011284,0.063486356
SPU_005081,-0.069978625
SPU_003832,-0.156994844
SPU_018732,-0.292700839
SPU_018731,0.291675957
SPU_0038323,1.032588271
SPU_003827,-0.378859278
SPU_005941,0.42446079
SPU_0045455,0.432058887
SPU_021205,-0.642686834
SPU_003339,-0.4235562
SPU_023527,0.215635084
SPU_019860,0.054154484
SPU_007772,-1.173772117
SPU_0077738,0.074630758
SPU_0077739,-0.361959493
SPU_007770,0.184860479
SPU_005403,-0.367900482
SPU_026277,-0.395281117
SPU_028494,0.12457542
SPU_0188033,-0.655958596
SPU_0188032,0.206820642
SPU_0188093,-0.031913167
SPU_004286,-0.370939349
SPU_004287,0.199511883
SPU_007771,-0.514091494
SPU_0077707,-0.169245546
SPU_0077706,0.553703503
SPU_007767,-1.170189037
SPU_0285393,2.723770881
SPU_0285391,-1.608076881
SPU_0285399,1.658554384
SPU_004208,0.599215796
SPU_020239,-0.297519649
SPU_021251,0.0841294
SPU_025010,-0.159208549
SPU_001396,-0.370325375
SPU_024357,-0.111523045
SPU_017530,0.178043528
SPU_017719,-1.441002278
SPU_017534,-0.960091504
SPU_017533,-0.771189029
SPU_022669,0.087338588
SPU_0226693,-1.114894291
SPU_016561,-0.010766456
SPU_010759,0.29145897
SPU_001393,-0.462657793
SPU_0013950,-0.532683818
SPU_0190221,0.225743235
SPU_005407,0.233635887
SPU_0181927,0.407512454
SPU_011470,0.0529144
SPU_0265274,0.311846886
SPU_0182013,-0.667715031
SPU_023759,-0.204926254
SPU_028623,0.214610812
SPU_005115,-0.482936453
SPU_004807,-0.510610089
SPU_006742,0.214741199
SPU_018198,0.992525612
SPU_018191,-0.076395495
SPU_026527,1.506900472
SPU_010288,-1.467042918
SPU_005613,1.057437399
SPU_013197,0.182333455
SPU_000819,-0.164957845
SPU_0008190,0.792581539
SPU_008541,-0.267221557
SPU_000818,-0.45462716
SPU_010790,-0.306438523
SPU_0056139,-0.402550041
SPU_024857,0.840331163
SPU_013199,-0.489424521
SPU_001182,-0.215216869
SPU_025345,0.418946204
SPU_019532,-1.299524082
