geneid,neglogpval
SPU_021884,0.001203969
SPU_0154366,2.507028896
SPU_028720,0.462961259
SPU_0287200,0.122713649
SPU_022152,3.449599563
SPU_005154,1.722531063
SPU_022149,3.681805069
SPU_022148,4.281844601
SPU_016329,1.540388053
SPU_011603,0.047633378
SPU_015436,0.248344269
SPU_026306,8.293768697
SPU_0278525,0.240118587
SPU_014755,0.18999068
SPU_012109,1.074165811
SPU_024924,0.370155942
SPU_027849,0.891103527
SPU_015256,0.110172799
SPU_0278524,0.338434239
SPU_0278523,0.688413318
SPU_027852,2.821332012
SPU_004513,0.195219739
SPU_015554,0.877361201
SPU_014791,2.946672998
SPU_028295,1.855242343
SPU_023539,0.943958626
SPU_014790,0.431609908
SPU_0147913,0.437904184
SPU_0147910,0.118795272
SPU_005414,2.842145108
SPU_019632,0.591953513
SPU_0196320,0.860690693
SPU_000158,0
SPU_000157,1.744374373
SPU_0220937,1.53967561
SPU_004350,1.539512527
SPU_007586,1.778858736
SPU_007587,0.741521048
SPU_007588,0.988747316
SPU_003767,0.658551704
SPU_024811,0.508977412
SPU_013331,0.658743346
SPU_007589,1.616754005
SPU_005860,0.765768417
SPU_0160351,0.031832263
SPU_0133041,0.228324712
SPU_013304,0.302142082
SPU_0133047,0.106406856
SPU_0133045,1.197046383
SPU_008105,3.720401783
SPU_016035,0.265181541
SPU_026331,3.358451405
SPU_026332,2.473561459
SPU_019629,1.438183821
SPU_023979,0.526096321
SPU_013353,0.829368621
SPU_025859,0.140197752
SPU_001829,0.067447991
SPU_0284011,3.448553548
SPU_028401,0.325843717
SPU_005069,0.299821592
SPU_010417,4.834589059
SPU_008312,0.464370697
SPU_015981,0.828889391
SPU_015983,1.990317384
SPU_010424.a,0.852218375
SPU_010424.d,0.066517016
SPU_010423,0.702622994
SPU_0104220,0.840471051
SPU_010429,0.067792421
SPU_0104291,2.615319193
SPU_0104292,0.539561219
SPU_014639,0.178516662
SPU_019370,8.854627788
SPU_024487,4.488942415
SPU_004756,0.141009776
SPU_011284,0.264418197
SPU_005081,0.114084399
SPU_003832,0.375130435
SPU_018732,0.324654749
SPU_018731,0.261640022
SPU_0038323,4.567053658
SPU_003827,0.42037312
SPU_005941,1.640295036
SPU_0045455,0.347713054
SPU_021205,2.459371602
SPU_003339,0.859620483
SPU_023527,0.274284326
SPU_019860,0.115690845
SPU_007772,2.98917402
SPU_0077738,0.103613464
SPU_0077739,0.480161063
SPU_007770,0.299766762
SPU_005403,1.65910952
SPU_026277,1.414001882
SPU_028494,0.180825695
SPU_0188033,0.58243304
SPU_0188032,0.977463186
SPU_0188093,0.040331714
SPU_004286,0.366029506
SPU_004287,0.19487247
SPU_007771,1.440221317
SPU_0077707,0.093866069
SPU_0077706,1.053244699
SPU_007767,3.152670776
SPU_0285393,9.051316494
SPU_0285391,2.125075264
SPU_0285399,3.308913363
SPU_004208,0.642523498
SPU_020239,1.353642789
SPU_021251,0.398571861
SPU_025010,0.121108507
SPU_001396,0.802719348
SPU_024357,0.528843336
SPU_017530,0.816578603
SPU_017719,3.984697914
SPU_017534,1.760895034
SPU_017533,1.634462687
SPU_022669,0.240408277
SPU_0226693,1.796535068
SPU_016561,0.009656938
SPU_010759,0.191102735
SPU_001393,1.218903827
SPU_0013950,0.706091339
SPU_0190221,0.170930281
SPU_005407,0.09017904
SPU_0181927,0.420910017
SPU_011470,0.095801683
SPU_0265274,0.380954206
SPU_0182013,1.17877169
SPU_023759,0.266025279
SPU_028623,0.394033966
SPU_005115,0.557998071
SPU_004807,0.726804764
SPU_006742,0.662136155
SPU_018198,1.03724941
SPU_018191,0.165295076
SPU_026527,1.823156858
SPU_010288,2.21957736
SPU_005613,1.291796903
SPU_013197,0.426690666
SPU_000819,0.882903263
SPU_0008190,0.991790462
SPU_008541,0.200158645
SPU_000818,1.853899565
SPU_010790,0.864550131
SPU_0056139,0.344110404
SPU_024857,1.085472393
SPU_013199,0.764559563
SPU_001182,0.84049363
SPU_025345,1.061507469
SPU_019532,1.806432965
SPU_019539,0.051298552
SPU_019538,0.378367025
SPU_019537,0.037443909
SPU_004804,0.018659455
SPU_0048051,0.388381813
SPU_028571,0.10696688
SPU_006812,1.109363583
SPU_0016082,0.246299092
SPU_001054,0.745140173
SPU_025077,1.412328832
SPU_027513,1.0684974
SPU_014456,0.180531249
SPU_016794,1.274673018
SPU_024332,0.87443047
SPU_016045,0.365558264
SPU_028790,3.80687374
SPU_004698,0.45322681
SPU_004697,0.01407361
SPU_0189334,2.246336003
SPU_0189323,0.997347792
SPU_018932,1.399153591
SPU_026472,0.604700726
SPU_001068,0.214589759
SPU_001071,0.721323756
SPU_0010698,0.125103239
