"geneid","binom"
"SPU_000811","0"
"SPU_000812","0"
"SPU_000813","1"
"SPU_000814","0"
"SPU_000816","0"
"SPU_000818","0"
"SPU_000819","0"
"SPU_000820","0"
"SPU_000821","1"
"SPU_000824","0"
"SPU_000825","0"
"SPU_000826","0"
"SPU_000827","0"
"SPU_000830","0"
"SPU_000832","0"
"SPU_000835","0"
"SPU_000836","0"
"SPU_000838","0"
"SPU_000841","0"
"SPU_000842","0"
"SPU_000844","1"
"SPU_000845","0"
"SPU_000847","0"
"SPU_000848","1"
"SPU_000850","0"
"SPU_000851","0"
"SPU_000858","0"
"SPU_000859","0"
"SPU_000860","0"
"SPU_000861","0"
"SPU_000865","0"
"SPU_000868","0"
"SPU_000869","0"
"SPU_000878","0"
"SPU_000879","0"
"SPU_000881","0"
"SPU_000884","0"
"SPU_000885","0"
"SPU_000886","0"
"SPU_000888","1"
"SPU_000889","0"
"SPU_000890","0"
"SPU_000891","0"
"SPU_000893","0"
"SPU_000895","0"
"SPU_000896","0"
"SPU_000898","0"
"SPU_000899","0"
"SPU_000900","0"
"SPU_000902","0"
"SPU_000903","0"
"SPU_000904","0"
"SPU_000907","1"
"SPU_000908","0"
"SPU_000909","0"
"SPU_000913","0"
"SPU_000914","0"
"SPU_000916","0"
"SPU_000920","0"
"SPU_000922","0"
"SPU_000923","0"
"SPU_000924","0"
"SPU_000925","0"
"SPU_000926","1"
"SPU_000927","0"
"SPU_000930","0"
"SPU_000931","0"
"SPU_000934","0"
"SPU_000935","0"
"SPU_000937","0"
"SPU_000939","0"
"SPU_000940","0"
"SPU_000941","1"
"SPU_000943","0"
"SPU_000946","1"
"SPU_000947","0"
"SPU_000948","0"
"SPU_000950","0"
"SPU_000952","0"
"SPU_000953","1"
"SPU_000955","1"
"SPU_000956","0"
"SPU_000957","0"
"SPU_000958","0"
"SPU_000959","0"
"SPU_000960","0"
"SPU_000961","0"
"SPU_000963","0"
"SPU_000964","0"
"SPU_000966","0"
"SPU_000967","0"
"SPU_000969","0"
"SPU_000970","0"
"SPU_000971","0"
"SPU_000972","0"
"SPU_000973","0"
"SPU_000974","0"
"SPU_000975","0"
"SPU_000978","0"
"SPU_000979","0"
"SPU_000982","0"
"SPU_000988","0"
"SPU_000996","0"
"SPU_000997","0"
"SPU_000998","0"
"SPU_000999","1"
"SPU_001000","0"
"SPU_001001","0"
"SPU_001002","0"
"SPU_001006","0"
"SPU_001007","0"
"SPU_001008","0"
"SPU_001009","0"
"SPU_001010","0"
"SPU_001012","0"
"SPU_001014","1"
"SPU_001016","0"
"SPU_001020","0"
"SPU_001024","0"
"SPU_001025","0"
"SPU_001026","1"
"SPU_001029","0"
"SPU_001030","0"
"SPU_001031","0"
"SPU_001037","0"
"SPU_001038","0"
"SPU_001040","0"
"SPU_001041","0"
"SPU_001044","0"
"SPU_001045","0"
"SPU_001046","0"
"SPU_001048","0"
"SPU_001049","0"
"SPU_001053","0"
"SPU_001056","0"
"SPU_001059","0"
"SPU_001060","0"
"SPU_001061","0"
"SPU_001062","0"
"SPU_001065","0"
"SPU_001068","0"
"SPU_001069","0"
"SPU_001071","0"
"SPU_001072","0"
"SPU_001073","1"
"SPU_001076","0"
"SPU_001077","0"
"SPU_001078","0"
"SPU_001079","0"
"SPU_001081","0"
"SPU_001083","0"
"SPU_001084","0"
"SPU_001085","0"
"SPU_001086","0"
"SPU_001087","0"
"SPU_001088","0"
"SPU_001090","0"
"SPU_001091","0"
"SPU_001094","0"
"SPU_001097","1"
"SPU_001098","0"
"SPU_001101","0"
"SPU_001104","1"
"SPU_001113","0"
"SPU_001119","0"
"SPU_001120","1"
"SPU_001121","0"
"SPU_001122","0"
"SPU_001123","0"
"SPU_001124","0"
"SPU_001125","0"
"SPU_001126","0"
"SPU_001127","0"
"SPU_001128","0"
"SPU_001129","0"
"SPU_001130","0"
"SPU_001131","0"
"SPU_001132","0"
"SPU_001134","1"
"SPU_001135","1"
"SPU_001138","0"
"SPU_001141","0"
"SPU_001142","0"
"SPU_001144","0"
"SPU_001146","0"
"SPU_001148","0"
"SPU_001151","0"
"SPU_001152","0"
"SPU_001153","0"
"SPU_001154","0"
"SPU_001156","0"
"SPU_001161","0"
"SPU_001164","0"
"SPU_001167","1"
"SPU_001174","0"
"SPU_001175","1"
"SPU_001178","0"
"SPU_001181","0"
"SPU_001183","0"
"SPU_001184","0"
"SPU_001185","0"
"SPU_001186","0"
"SPU_001187","1"
"SPU_001188","0"
"SPU_001191","0"
"SPU_001192","0"
"SPU_001193","0"
"SPU_001195","0"
"SPU_001198","0"
"SPU_001202","0"
"SPU_001203","0"
"SPU_001204","0"
"SPU_001207","0"
"SPU_001208","0"
"SPU_001209","1"
"SPU_001211","0"
"SPU_001212","0"
"SPU_001214","0"
"SPU_001218","0"
"SPU_001224","0"
"SPU_001226","1"
"SPU_001227","0"
"SPU_001228","0"
"SPU_001232","0"
"SPU_001233","0"
"SPU_001235","0"
"SPU_001236","1"
"SPU_001237","0"
"SPU_001239","1"
"SPU_001240","0"
"SPU_001242","0"
"SPU_001244","0"
"SPU_001245","0"
"SPU_001246","0"
"SPU_001247","0"
"SPU_001250","0"
"SPU_001252","0"
"SPU_001254","0"
"SPU_001255","0"
"SPU_001256","0"
"SPU_001257","0"
"SPU_001258","0"
"SPU_001261","0"
"SPU_001262","0"
"SPU_001263","0"
"SPU_001264","0"
"SPU_001265","0"
"SPU_001267","0"
"SPU_001268","1"
"SPU_001269","0"
"SPU_001273","0"
"SPU_001277","0"
"SPU_001278","0"
"SPU_001279","0"
"SPU_001280","0"
"SPU_001281","0"
"SPU_001283","0"
"SPU_001284","0"
"SPU_001288","0"
"SPU_001289","0"
"SPU_001291","0"
"SPU_001293","0"
"SPU_001295","0"
"SPU_001296","0"
"SPU_001297","0"
"SPU_001298","0"
"SPU_001299","0"
"SPU_001304","0"
"SPU_001305","0"
"SPU_001307","0"
"SPU_001308","0"
"SPU_001309","0"
"SPU_001310","0"
"SPU_001311","0"
"SPU_001312","0"
"SPU_001313","0"
"SPU_001314","0"
"SPU_001316","0"
"SPU_001317","0"
"SPU_001318","0"
"SPU_001319","1"
"SPU_001320","0"
"SPU_001321","1"
"SPU_001322","0"
"SPU_001323","1"
"SPU_001324","0"
"SPU_001325","1"
"SPU_001330","0"
"SPU_001332","0"
"SPU_001334","0"
"SPU_001335","0"
"SPU_001337","0"
"SPU_001338","0"
"SPU_001341","0"
"SPU_001344","0"
"SPU_001345","1"
"SPU_001346","0"
"SPU_001350","0"
"SPU_001352","0"
"SPU_001355","0"
"SPU_001356","0"
"SPU_001358","0"
"SPU_001359","0"
"SPU_001360","0"
"SPU_001362","0"
"SPU_001365","1"
"SPU_001366","0"
"SPU_001367","0"
"SPU_001368","0"
"SPU_001374","1"
"SPU_001377","0"
"SPU_001381","0"
"SPU_001382","1"
"SPU_001387","0"
"SPU_001388","0"
"SPU_001389","0"
"SPU_001390","0"
"SPU_001391","0"
"SPU_001392","0"
"SPU_001393","0"
"SPU_001394","0"
"SPU_001395","0"
"SPU_001396","0"
"SPU_001401","0"
"SPU_001402","0"
"SPU_001404","0"
"SPU_001410","1"
"SPU_001411","0"
"SPU_001412","0"
"SPU_001417","0"
"SPU_001420","0"
"SPU_001421","0"
"SPU_001424","0"
"SPU_001425","0"
"SPU_001426","0"
"SPU_001427","0"
"SPU_001428","0"
"SPU_001429","0"
"SPU_001439","0"
"SPU_001441","0"
"SPU_001442","0"
"SPU_001445","0"
"SPU_001446","0"
"SPU_001450","0"
"SPU_001451","1"
"SPU_001452","0"
"SPU_001453","0"
"SPU_001454","0"
"SPU_001456","0"
"SPU_001457","0"
"SPU_001459","0"
"SPU_001461","0"
"SPU_001462","0"
"SPU_001463","0"
"SPU_001464","0"
"SPU_001468","0"
"SPU_001471","1"
"SPU_001476","0"
"SPU_001477","0"
"SPU_001478","0"
"SPU_001479","0"
"SPU_001480","0"
"SPU_001481","0"
"SPU_001482","0"
"SPU_001483","0"
"SPU_001484","1"
"SPU_001488","0"
"SPU_001489","0"
"SPU_001491","0"
"SPU_001492","0"
"SPU_001493","0"
"SPU_001494","0"
"SPU_001496","0"
"SPU_001497","0"
"SPU_001498","0"
"SPU_001499","0"
"SPU_001500","0"
"SPU_001501","0"
"SPU_001505","0"
"SPU_001508","0"
"SPU_001511","0"
"SPU_001512","0"
